,RK,Home_GMS,Home_total,Home_AVG,Home_PCT,Road_GMS,Road_total,Road_AVG,Road_PCT,Overall_GMS,Overall_AVG,Overall_PCT
2,1,76ers,35,639491,20628,102.4,38,17706,94.5,73,19122,98.4
3,2,Mavericks,38,682096,20061,104.5,37,18249,97.6,75,19169,101.2
4,3,Raptors,36,633456,19795,100.0,36,17789,94.9,72,18792,97.5
5,4,Heat,36,629771,19680,100.4,37,18127,96.7,73,18891,98.5
6,5,Trail Blazers,36,608634,19633,101.0,38,17941,96.5,74,18748,98.7
7,6,Nuggets,37,633153,19186,98.3,36,17163,92.6,73,18190,95.6
8,7,Celtics,36,610864,19089,102.5,36,18409,97.6,72,18749,100.1
9,8,Clippers,36,610176,19068,100.0,36,17855,96.1,72,18461,98.1
10,9,Lakers,35,588907,18997,99.6,36,18877,101.7,71,18936,100.7
11,10,NY Knicks,33,620789,18811,95.0,33,17767,94.1,66,18289,94.5
12,11,Bulls,34,639352,18804,89.9,31,17767,94.3,65,18310,91.9
13,12,Spurs,34,550515,18350,100.0,37,17588,93.5,71,17951,96.5
14,13,Jazz,35,567486,18306,100.0,37,17261,92.0,72,17767,95.8
15,14,Thunder,37,600699,18203,100.0,35,17855,95.6,72,18034,97.8
16,15,Rockets,36,578458,18076,100.1,36,18072,96.6,72,18074,98.3
17,16,Warriors,34,614176,18064,100.0,31,17454,93.6,65,17773,96.9
18,17,Cavaliers,36,623576,17816,91.7,29,18254,94.9,65,18014,93.1
19,18,Bucks,35,549036,17710,102.1,38,17892,94.8,73,17805,98.1
20,19,Magic,35,529870,17092,90.7,38,17243,92.0,73,17171,91.4
21,20,Kings,35,520663,16795,95.5,37,17739,94.1,72,17282,94.8
22,21,Wizards,36,532702,16646,80.8,36,17587,92.2,72,17117,86.3
23,22,Pacers,36,529002,16531,92.2,37,17297,91.8,73,16914,92.0
24,23,Pelicans,36,528172,16505,97.9,36,18234,96.7,72,17369,97.2
25,24,Nets,36,524907,16403,92.5,36,17910,93.7,72,17157,93.1
26,25,Hawks,34,545453,16042,95.0,33,17786,92.9,67,16901,93.9
27,26,Grizzlies,37,523297,15857,86.2,36,17508,93.3,73,16670,89.7
28,27,Suns,39,550633,15732,87.1,34,17660,94.5,73,16622,90.6
29,28,Pistons,33,509463,15438,75.9,33,17641,93.5,66,16539,84.4
30,,Hornets,31,478591,15438,80.9,34,17564,92.2,65,16550,86.8
31,30,Timberwolves,32,482112,15066,79.4,32,17463,93.4,64,16264,86.4
32,31,Leb,0,0,0,--,1,0,--,0,0,--
33,,World,0,0,0,--,1,0,--,0,0,--
34,,Usa,1,0,0,--,0,0,--,0,0,--
35,,Gia,1,17808,0,--,0,0,--,0,0,--
